sample	unit	lib	platform	fq1	fq2
23x818	P36454_324.4	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L004_R2_001.fastq.gz
23x818	P36454_324.3	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L003_R2_001.fastq.gz
23x818	P36454_324.2	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_324/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_324_S322_L002_R2_001.fastq.gz
22x2132	P36454_353.2	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L002_R2_001.fastq.gz
22x2132	P36454_353.3	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L003_R2_001.fastq.gz
22x2132	P36454_353.4	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_353/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_353_S351_L004_R2_001.fastq.gz
23x819	P36454_325.3	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L003_R2_001.fastq.gz
23x819	P36454_325.2	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L002_R2_001.fastq.gz
23x819	P36454_325.4	 P36454P3   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_325/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_325_S323_L004_R2_001.fastq.gz
L23x461	P36454_191.3	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L003_R2_001.fastq.gz
L23x461	P36454_191.4	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L004_R2_001.fastq.gz
L23x461	P36454_191.2	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_191/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_191_S201_L002_R2_001.fastq.gz
L24x277	P36454_211.2	 P36454P2   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L002_R2_001.fastq.gz
L24x277	P36454_211.3	 P36454P2   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L003_R2_001.fastq.gz
L24x277	P36454_211.4	 P36454P2   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_211/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_211_S215_L004_R2_001.fastq.gz
L23x376	P36454_190.4	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L004_R2_001.fastq.gz
L23x376	P36454_190.3	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L003_R2_001.fastq.gz
L23x376	P36454_190.2	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_190/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_190_S200_L002_R2_001.fastq.gz
L23x379	P36454_182.4	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L004_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L004_R2_001.fastq.gz
L23x379	P36454_182.3	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L003_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L003_R2_001.fastq.gz
L23x379	P36454_182.2	 P36454P1   	ILLUMINA	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L002_R1_001.fastq.gz	../../RawData/lcNGS_2025/files/P36454/P36454_182/02-FASTQ/20250916_LH00202_0275_B233JYLLT4/P36454_182_S192_L002_R2_001.fastq.gz
